Species,Species2,Population,Sgen1,Smsy,S_25,S_75,S_avg_year,S_avg,historic_avg,prod_year,mean_prod,prod_LCI,status_prod,status_SR,status_spawn,prod_trend_old,prod_trend
CO,CO,TSULQUATE RIVER,,,73.75,400,2002,140.1998573,142.5843508,,,,,,DD,,
CO,CO,TUNA RIVER,,,106.25,750,2001,80.62257748,290.4598823,,,,,,DD,,
CO,CO,WAHKANA BAY CREEK,,,25,400,2011,3.16227766,67.86667129,,,,,,red,,
SO,SO,ADAM RIVER,,,15.5,200,2017,8.701527267,47.28673786,,,,,,red,,
SO,SO,FULMORE RIVER,,,775,3500,1998,400,1482.514028,,,,,,DD,,
SO,SO,GLENDALE CREEK,,,21.25,1312.5,2002,193.6491673,133.316585,,,,,,DD,,
SO,SO,KAKWEIKEN RIVER,,,100,1500,2011,3.741657387,327.7196579,,,,,,red,,
SO,SO,KINGCOME RIVER,,,200,3500,2013,2,545.1248176,,,,,,red,,
SO,SO,KLINAKLINI RIVER,,,400,3500,2003,6491.466507,1173.4149,,,,,,DD,,
SO,SO,KOKISH RIVER,,,18.5,100,2016,17.47231746,43.92946344,,,,,,red,,
SO,SO,MACKENZIE RIVER,,,375,2169.5,2014,765.4136137,805.266384,,,,,,amber,,
SO,SO,NAHWITTI RIVER,,,1500,3500,2007,80,1831.468848,,,,,,red,,
SO,SO,NIMPKISH RIVER,,,30000,1.00E+05,2017,70413.64206,51892.86408,,,,,,amber,,
SO,SO,QUATSE RIVER,,,271.5,1750.75,2013,2354.921774,764.3554187,,,,,,green,,
CK,CK,ADAM RIVER,,,67,264,2017,125.5996383,121.9645366,,,,,,amber,,
CK,CK,AHNUHATI RIVER,,,46.25,300,2014,50,101.8873338,,,,,,amber,,
CK,CK,KAKWEIKEN RIVER,,,63.75,400,2011,5,153.0895919,,,,,,red,,
CK,CK,KINGCOME RIVER,,,122,1000,2014,14.39341863,338.6680618,,,,,,red,,
CK,CK,KLINAKLINI RIVER,,,1000,7500,2003,12656.31944,3173.695628,,,,,,DD,,
CK,CK,KOKISH RIVER,,,16,93.75,2016,7.113786609,37.89502287,,,,,,red,,
CK,CK,NIMPKISH RIVER,,,543,5000,2017,1788.5391,1671.337269,,,,,,amber,,
CK,CK,WAKEMAN RIVER,,,54,1000,2014,21.16112246,240.4320292,,,,,,red,,
